word,dateCreated,dateModified,guid,id,morph_type,cv_pattern,pron_number,pron
rëkëɨ,2013-07-30T10:22:57Z,2018-02-04T12:01:08Z,3b1067eb-0c02-48ca-b389-1db4ad3f85a2,rëkëɨ2_3b1067eb-0c02-48ca-b389-1db4ad3f85a2,stem,ɾəkəɨ,1,ɾəkəɨ
rëkëkë,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,d53f5063-2bdb-4d48-aaf9-c1f5530bd722,rëkëkë_d53f5063-2bdb-4d48-aaf9-c1f5530bd722,root,ɾəkəkə,1,ɾəkəkə
rëkëkëaɨ,2013-07-30T10:22:57Z,2018-02-04T12:01:08Z,e29c681a-27c8-4e5c-8cd2-bfe9b468019a,rëkëkëaɨ_e29c681a-27c8-4e5c-8cd2-bfe9b468019a,stem,ɾəkəkəaɨ,1,ɾəkəkəaɨ
rëkëmaɨ,2013-07-30T10:22:57Z,2018-02-04T12:01:08Z,3cd25982-633d-45bb-9cb3-6f045daee6f0,rëkëmaɨ_3cd25982-633d-45bb-9cb3-6f045daee6f0,stem,ɾəkəmaɨ,1,ɾəkəmaɨ
rëkëpuu,2013-07-30T10:22:57Z,2018-02-04T12:01:08Z,a8ab0426-37d1-4332-a1dd-52e12c97b089,rëkëpuu_a8ab0426-37d1-4332-a1dd-52e12c97b089,stem,ɾəkəpuu,1,ɾəkəpuu
riã kẽteri,2014-10-03T09:32:14Z,2018-02-04T12:01:08Z,8fc1cf8a-3dae-4142-8a30-42d02f131d8a,riã kẽteri_8fc1cf8a-3dae-4142-8a30-42d02f131d8a,discontiguous phrase,,,
roa tëtëkëki,2013-07-30T10:22:59Z,2018-02-04T12:01:08Z,6a818957-054e-4f26-aed1-4a0acd4c4522,roa tëtëkëki_6a818957-054e-4f26-aed1-4a0acd4c4522,discontiguous phrase,ɾoa tətəkəki,1,ɾoa tətəkəki
rukë,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,8c5507d9-c4d3-47f2-b491-675f41ba3440,rukë2_8c5507d9-c4d3-47f2-b491-675f41ba3440,root,ɾukə,1,ɾukə
rukë,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,96802807-010c-405c-85d8-579177bf2815,rukë1_96802807-010c-405c-85d8-579177bf2815,root,ɾukə,1,ɾukə
rukëaɨ,2013-07-30T10:23:00Z,2018-02-04T12:01:08Z,236c02ba-e990-4251-9e44-73b3b61e7867,rukëaɨ_236c02ba-e990-4251-9e44-73b3b61e7867,stem,ɾukəaɨ,1,ɾukəaɨ
rukëamaɨ,2013-07-30T10:23:00Z,2018-02-04T12:01:08Z,e1ac4eed-0993-4860-a8cc-1bf550a6666f,rukëamaɨ_e1ac4eed-0993-4860-a8cc-1bf550a6666f,stem,ɾukəamaɨ,1,ɾukəamaɨ
rukëɨ,2013-07-30T10:23:00Z,2018-02-04T12:01:08Z,1ca1fce9-a2d9-47fb-8f0a-b4a64092e39a,rukëɨ1_1ca1fce9-a2d9-47fb-8f0a-b4a64092e39a,stem,ɾukəɨ,1,ɾukəɨ
